"Algorithm","n","k","Average Swaps","Average Compares","c/n","s/n"
"Insertion Sort","100","1","2713","2812","27.13","28.12"
"Insertion Sort","100","10","2431","2530.5","24.31","25.305"
"Insertion Sort","100","100","2437","2536.25","24.37","25.3625"
"Insertion Sort","200","1","10245","10444","51.225","52.22"
"Insertion Sort","200","10","10087","10286.5","50.435","51.4325"
"Insertion Sort","200","100","9818","10017.4599999999991268850862979888916015625","49.09","50.0873"
"Insertion Sort","300","1","22533","22832","75.11","76.10666666666667"
"Insertion Sort","300","10","22575","22874.9000000000014551915228366851806640625","75.25","76.24966666666667"
"Insertion Sort","300","100","22396","22695.95000000000072759576141834259033203125","74.65333333333334","75.65316666666666"
"Insertion Sort","400","1","41566","41965","103.915","104.9125"
"Insertion Sort","400","10","39911","40310.4000000000014551915228366851806640625","99.7775","100.77600000000001"
"Insertion Sort","400","100","39817","40216.389999999999417923390865325927734375","99.5425","100.540975"
"Insertion Sort","500","1","62859","63358","125.718","126.716"
"Insertion Sort","500","10","61900","62399.300000000002910383045673370361328125","123.8","124.79860000000001"
"Insertion Sort","500","100","62144","62643.3199999999997089616954326629638671875","124.288","125.28664"
"Insertion Sort","600","1","92472","93071","154.12","155.11833333333334"
"Insertion Sort","600","10","89872","90471.5","149.78666666666666","150.78583333333333"
"Insertion Sort","600","100","89975","90574.1900000000023283064365386962890625","149.95833333333334","150.95698333333334"
"Insertion Sort","700","1","124410","125109","177.72857142857143","178.72714285714287"
"Insertion Sort","700","10","122100","122799.10000000000582076609134674072265625","174.42857142857142","175.42728571428572"
"Insertion Sort","700","100","121892","122591.889999999999417923390865325927734375","174.13142857142856","175.13127142857144"
"Insertion Sort","800","1","162156","162955","202.695","203.69375"
"Insertion Sort","800","10","160836","161635.7000000000116415321826934814453125","201.045","202.04462500000002"
"Insertion Sort","800","100","159130","159929.6900000000023283064365386962890625","198.9125","199.9121125"
"Insertion Sort","900","1","198635","199534","220.70555555555555","221.70444444444445"
"Insertion Sort","900","10","199922","200821.60000000000582076609134674072265625","222.13555555555556","223.13511111111112"
"Insertion Sort","900","100","202470","203369.54000000000814907252788543701171875","224.96666666666667","225.96615555555556"
"Insertion Sort","1000","1","256052","257051","256.052","257.051"
"Insertion Sort","1000","10","250859","251858.7999999999883584678173065185546875","250.859","251.8588"
"Insertion Sort","1000","100","250291","251290.1900000000023283064365386962890625","250.291","251.29019"
"Quick Sort","100","1","593","392","5.93","3.92"
"Quick Sort","100","10","716.200000000000045474735088646411895751953125","418.6000000000000227373675443232059478759765625","7.162000000000001","4.186"
"Quick Sort","100","100","717.8899999999999863575794734060764312744140625","447.93000000000000682121026329696178436279296875","7.1789","4.4793"
"Quick Sort","200","1","1640","1061","8.2","5.305"
"Quick Sort","200","10","1697.40000000000009094947017729282379150390625","1077","8.487","5.385"
